Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E0,19/09/15,Newcastle,Watford,1,2,A,0,2,A,R East,15,13,5,4,8,12,5,5,1,2,0,0,2.5,3.3,3.1,2.5,3.2,2.8,2.4,3.3,2.75,2.45,3.4,3.1,2.54,3.36,3.04,2.5,3.2,2.9,2.5,3.3,3.13,40,2.55,2.47,3.48,3.25,3.13,2.97,35,2.25,2.17,1.74,1.68,25,0,1.81,1.76,2.2,2.11
E0,19/09/15,Stoke,Leicester,2,2,D,2,0,H,A Marriner,11,12,4,5,7,12,3,4,1,4,0,0,2.5,3.4,3,2.5,3.2,2.8,2.4,3.2,2.85,2.5,3.4,3,2.47,3.41,3.1,2.5,3,3,2.45,3.4,3.13,40,2.5,2.43,3.42,3.3,3.13,2.98,35,2.09,2.03,1.84,1.77,24,0,1.77,1.73,2.21,2.15
E0,19/09/15,Swansea,Everton,0,0,D,0,0,D,S Attwell,12,17,3,2,12,11,2,4,2,2,0,1,2.3,3.4,3.4,2.3,3.2,3.1,2.3,3.2,3,2.25,3.4,3.4,2.3,3.44,3.4,2.3,3.2,3.2,2.25,3.4,3.4,40,2.34,2.26,3.47,3.33,3.41,3.27,35,2.08,2.03,1.87,1.78,24,-0.25,1.98,1.93,1.97,1.92
E0,20/09/15,Liverpool,Norwich,1,1,D,0,0,D,A Taylor,23,7,7,2,4,13,6,2,1,2,0,0,1.67,4,5.75,1.67,3.8,5.5,1.55,3.9,5.6,1.67,3.8,5.5,1.68,3.94,5.81,1.67,3.6,5.5,1.67,4,5.75,40,1.68,1.64,4.1,3.86,6,5.54,36,1.92,1.86,2.03,1.93,25,-1,2.26,2.16,1.77,1.73
E0,20/09/15,Southampton,Man United,2,3,A,1,1,D,M Clattenburg,15,10,8,3,6,13,5,5,2,0,0,0,3.1,3.3,2.5,3.2,3.2,2.4,3,3.2,2.3,3.1,3.2,2.5,3.22,3.3,2.46,3,3,2.5,3.2,3.2,2.5,40,3.25,3.06,3.32,3.19,2.5,2.44,33,2.36,2.28,1.67,1.62,24,0,2.26,2.17,1.76,1.72
E0,20/09/15,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver,22,12,6,4,9,11,6,5,1,2,0,0,2,3.6,4,2,3.4,3.6,1.85,3.45,4,2,3.5,4,1.99,3.61,4.15,1.95,3.5,3.8,2,3.6,4,40,2.02,1.97,3.72,3.48,4.33,3.95,36,1.97,1.91,1.96,1.89,25,-0.5,2.02,1.97,1.94,1.89
E0,26/09/15,Leicester,Arsenal,2,5,A,1,2,A,C Pawson,16,26,7,12,9,12,6,5,1,1,0,0,4.5,4,1.8,4,3.8,1.85,3.8,3.45,1.9,4.33,3.75,1.83,4.55,3.97,1.83,4,3.75,1.85,4.4,3.9,1.85,41,4.56,4.26,4.01,3.81,1.9,1.82,35,1.75,1.67,2.3,2.18,26,0.5,2.13,2.07,1.85,1.8
E0,26/09/15,Liverpool,Aston Villa,3,2,H,1,0,H,J Moss,21,10,12,4,8,13,11,1,0,0,0,0,1.53,4.33,7,1.53,4.2,6.5,1.5,4,6.1,1.53,4,7,1.53,4.28,7.48,1.53,3.8,7,1.55,4.1,7.5,41,1.56,1.52,4.4,4.13,7.5,6.81,37,2.05,1.95,1.95,1.84,25,-1,1.93,1.89,2.02,1.98
E0,26/09/15,Man United,Sunderland,3,0,H,1,0,H,M Jones,12,9,7,4,12,17,5,2,0,3,0,0,1.2,7.5,16,1.22,6.5,13,1.2,5.8,13,1.22,6.5,13,1.23,6.9,16.7,1.22,6,13,1.22,7,15,41,1.24,1.21,7.5,6.57,16.7,13.85,33,1.61,1.56,2.55,2.38,25,-2,2.17,2.11,1.81,1.78
E0,26/09/15,Newcastle,Chelsea,2,2,D,1,0,H,M Atkinson,11,16,5,4,12,15,4,6,1,2,0,0,6,4.2,1.62,5.75,3.9,1.62,5.4,3.7,1.6,6,4,1.62,5.98,4.16,1.63,6,3.6,1.62,6,4,1.65,41,6.1,5.62,4.2,3.94,1.67,1.62,37,1.88,1.81,2.09,1.99,24,0.75,2.14,2.08,1.84,1.8
E0,26/09/15,Southampton,Swansea,3,1,H,1,0,H,R East,18,11,7,4,18,14,4,3,3,1,0,0,2.05,3.4,4.2,2.05,3.25,3.6,2.2,3.2,3.2,2.05,3.4,3.8,2.04,3.51,4.07,2.05,3.1,4,2.1,3.3,4.1,41,2.2,2.03,3.51,3.37,4.2,3.86,36,2.25,2.16,1.79,1.68,26,-0.5,2.05,2,1.92,1.86
E0,26/09/15,Stoke,Bournemouth,2,1,H,1,0,H,L Mason,8,11,5,6,13,11,3,7,1,0,0,0,2.55,3.3,3,2.5,3.3,2.75,2.5,3.2,2.75,2.5,3.3,2.88,2.47,3.46,3.06,2.5,3.1,3,2.55,3.3,3,41,2.6,2.48,3.53,3.31,3.06,2.9,36,2.1,2.02,1.86,1.78,25,0,1.81,1.76,2.2,2.11
E0,26/09/15,Tottenham,Man City,4,1,H,1,1,D,M Clattenburg,15,22,8,8,17,6,5,9,5,1,0,0,4.2,3.8,1.91,4,3.6,1.91,3.6,3.3,2,4.2,3.75,1.9,4.03,3.82,1.96,4,3.4,1.95,4,3.8,1.95,40,4.3,3.94,3.82,3.62,2,1.93,36,1.78,1.72,2.19,2.11,26,0.5,1.98,1.94,1.96,1.92
E0,26/09/15,West Ham,Norwich,2,2,D,1,1,D,M Dean,19,16,7,7,7,17,7,5,0,0,0,0,2.25,3.5,3.4,2.25,3.25,3.1,2.1,3.3,3.3,2.2,3.4,3.4,2.22,3.54,3.49,2.3,3.2,3.2,2.25,3.5,3.4,41,2.3,2.22,3.54,3.4,3.52,3.28,37,1.96,1.9,1.96,1.89,25,-0.5,2.26,2.19,1.75,1.72
E0,27/09/15,Watford,Crystal Palace,0,1,A,0,0,D,A Taylor,15,16,2,3,17,22,6,4,4,4,0,0,2.5,3.3,3.1,2.5,3.2,2.8,2.5,3.2,2.75,2.5,3.3,2.9,2.49,3.36,3.12,2.5,3.1,3,2.7,3.13,3,41,2.7,2.48,3.4,3.25,3.12,2.96,36,2.2,2.13,1.76,1.71,25,0,1.78,1.75,2.21,2.13
E0,28/09/15,West Brom,Everton,2,3,A,1,0,H,R Madley,9,12,4,4,9,8,6,4,0,3,0,0,3.1,3.3,2.5,2.8,3.25,2.45,2.85,3.2,2.4,3,3.25,2.5,3.06,3.39,2.51,3.1,3,2.5,3.1,3.3,2.5,39,3.1,2.98,3.4,3.25,2.55,2.47,34,2.34,2.23,1.71,1.64,23,0,2.17,2.1,1.82,1.77
E0,03/10/15,Aston Villa,Stoke,0,1,A,0,0,D,M Jones,13,12,2,5,12,12,9,5,1,0,0,0,2.5,3.3,3.1,2.5,3.25,2.95,2.4,3.3,2.75,2.5,3.3,3,2.5,3.34,3.11,2.5,3.2,2.9,2.5,3.3,3.13,44,2.55,2.47,3.4,3.23,3.13,2.99,38,2.28,2.19,1.73,1.67,24,-0.25,2.16,2.1,1.82,1.78
E0,03/10/15,Bournemouth,Watford,1,1,D,1,1,D,M Oliver,12,11,6,2,8,13,5,3,1,1,0,0,2.1,3.5,3.8,2.1,3.25,3.5,2.1,3.3,3.3,2.15,3.4,3.6,2.13,3.54,3.72,2.15,3,3.75,2.1,3.5,3.8,44,2.15,2.1,3.6,3.39,3.8,3.62,40,2.07,2,1.91,1.8,27,-0.5,2.13,2.08,1.85,1.79
E0,03/10/15,Chelsea,Southampton,1,3,A,1,1,D,R Madley,10,13,3,5,14,14,4,6,2,5,0,0,1.83,3.7,4.8,1.83,3.6,4.5,1.7,3.6,4.7,1.8,3.75,4.5,1.83,3.76,4.84,1.83,3.2,4.8,1.83,3.75,4.75,44,1.87,1.8,3.8,3.63,5.25,4.61,40,1.95,1.88,2,1.91,25,-0.75,2.12,2.05,1.9,1.82
E0,03/10/15,Crystal Palace,West Brom,2,0,H,0,0,D,J Moss,21,7,8,2,14,13,8,3,3,3,0,0,1.83,3.6,5,1.8,3.4,4.5,1.8,3.5,4.2,1.85,3.5,4.75,1.84,3.65,4.93,1.85,3.1,5,1.85,3.5,5,43,1.87,1.81,3.7,3.49,5.05,4.74,38,2.25,2.14,1.77,1.7,25,-0.75,2.11,2.05,1.87,1.82
E0,03/10/15,Man City,Newcastle,6,1,H,1,1,D,K Friend,23,6,11,4,13,8,6,3,3,1,0,0,1.25,7,13,1.25,6.25,11.5,1.25,5.5,10.3,1.25,6.5,13,1.24,6.9,13.8,1.25,6,13,1.22,7,15,43,1.26,1.23,7.25,6.59,15,12.3,39,1.47,1.41,3,2.85,27,-2,2.12,2.02,1.9,1.84
E0,03/10/15,Norwich,Leicester,1,2,A,0,1,A,M Clattenburg,17,16,2,5,4,4,16,8,0,1,0,0,2.3,3.5,3.3,2.3,3.1,3.2,2.3,3.3,2.9,2.25,3.4,3.3,2.26,3.63,3.31,2.25,3.4,3.1,2.3,3.6,3.2,44,2.3,2.25,3.63,3.46,3.31,3.15,38,1.86,1.74,2.18,2.08,26,-0.5,2.3,2.23,1.74,1.7
E0,03/10/15,Sunderland,West Ham,2,2,D,2,1,H,N Swarbrick,12,20,3,6,14,11,1,8,2,4,1,0,3.2,3.4,2.4,3.1,3.2,2.3,2.9,3.3,2.3,3.1,3.4,2.4,3.13,3.46,2.43,2.9,3.4,2.38,3.13,3.5,2.4,43,3.2,3.05,3.5,3.34,2.45,2.37,38,2,1.94,1.92,1.86,24,0.25,1.86,1.83,2.1,2.03
E0,04/10/15,Arsenal,Man United,3,0,H,3,0,H,A Taylor,12,9,5,5,8,17,3,6,1,3,0,0,2,3.8,3.8,2,3.5,3.75,2.1,3.3,3.3,2.05,3.4,3.8,2.06,3.67,3.81,1.95,3.6,3.75,2.05,3.7,3.8,44,2.1,2.01,3.8,3.59,3.9,3.69,38,1.9,1.83,2.08,1.97,25,-0.5,2.06,2,1.91,1.86
E0,04/10/15,Everton,Liverpool,1,1,D,1,1,D,M Atkinson,14,13,4,4,10,19,5,11,3,3,0,0,2.7,3.4,2.8,2.7,3.2,2.75,2.6,3.2,2.6,2.7,3.25,2.8,2.75,3.42,2.75,2.75,2.8,2.9,2.7,3.4,2.8,43,2.8,2.66,3.47,3.27,2.9,2.74,40,2.05,1.98,1.88,1.82,25,0,1.97,1.89,2.01,1.96
E0,04/10/15,Swansea,Tottenham,2,2,D,2,1,H,M Dean,11,19,2,11,8,19,5,6,1,4,0,0,2.75,3.25,2.8,2.65,3.2,2.65,2.6,3.2,2.6,2.7,3.2,2.75,2.72,3.33,2.84,2.62,3.25,2.7,2.7,3.4,2.8,44,2.88,2.66,3.4,3.28,2.85,2.7,38,2.1,1.98,1.88,1.81,26,0,1.95,1.9,2.01,1.94
